"","Tazas_por_dia","Rendimiento_con_cafe","Promedio_ponderado_2024_1","Apoyo_economico","Gasto_semanal_cafe","Lugar_compra_cafe"
"1656",NA,NA,NA,"Ninguno",NA,NA
"1657",1,"Regular",14.02,"Ninguno",20,"Starbucks"
"1658",1,"Bueno",14.07,"Ninguno",9,"Hago mi propio café"
"1659",3,"Regular",13.93,"Ninguno",12,"Hago mi propio café"
"1660",2,"Bueno",15.01,"Ninguno",11,"Cafetería Artesanal"
"1661",3,"Regular",13.82,"Ninguno",10,"Cafetería Artesanal"
"1662",3,"Bueno",14.69,"Ninguno",13,"""Bodegas"" como Listo, Tambo, etc"
"1663",3,"Regular",14.02,"Ninguno",13,"Starbucks"
"1664",2,"Regular",14.52,"Ninguno",14,"Hago mi propio café"
"1665",2,"Bueno",13.08,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1666",1,"Bueno",14.29,"Ninguno",19,"Cafetería Artesanal"
"1667",2,"Bueno",15.02,"Ninguno",18,"Cafetería Artesanal"
"1668",2,"Bueno",14.72,"Ninguno",18,"Cafetería Artesanal"
"1669",2,"Regular",13.82,"Ninguno",14,"""Bodegas"" como Listo, Tambo, etc"
"1670",3,"Bueno",15.32,"Ninguno",19,"""Bodegas"" como Listo, Tambo, etc"
"1671",2,"Bueno",14.92,"Ninguno",17,"Starbucks"
"1672",2,"Bueno",12.99,"Ninguno",18,"Starbucks"
"1673",2,"Bueno",13.87,"Ninguno",32,"Starbucks"
"1674",1,"Bueno",14.02,"Ninguno",18,"Starbucks"
"1675",4,"Bueno",14.82,"Ninguno",18,"Starbucks"
"1676",2,"Excelente",16.21,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1677",4,"Excelente",14.21,"Ninguno",10,"Cafetería Artesanal"
"1678",1,"Excelente",12.3,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1679",2,"Excelente",13,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"1680",1,"Regular",16,"Ninguno",10,"Starbucks"
"1681",3,"Excelente",14.85,"Ninguno",35,"Cafetería Artesanal"
"1682",4,"Excelente",17,"Ninguno",60,"""Bodegas"" como Listo, Tambo, etc"
"1683",2,"Bueno",14,"Semi-beca",20,"Cafetería Artesanal"
"1684",7,"Regular",18,"Ninguno",70,"Starbucks"
"1685",6,"Bueno",NA,"Ninguno",10,"Starbucks"
"1686",NA,NA,NA,"Ninguno",NA,NA
"1687",3,"Bueno",NA,"Ninguno",40,"Starbucks"
"1688",1,"Bueno",15,"Beca",15,"Starbucks"
"1689",NA,"Regular",18,"Semi-beca",0,"Hago mi propio café"
"1690",3,"Bueno",11.3,"Beca",14,"""Bodegas"" como Listo, Tambo, etc"
"1691",2,"Bueno",13,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1692",4,"Bueno",13,"Ninguno",21,"Cafetería Artesanal"
"1693",2,"Bueno",14.2,"Ninguno",10,"Hago mi propio café"
"1694",2,"Puede Mejorar",11,"Beca",12,"""Bodegas"" como Listo, Tambo, etc"
"1695",2,"Excelente",14,"Semi-beca",25,"Hago mi propio café"
"1696",NA,NA,NA,"Beca",NA,NA
"1697",3,"Bueno",16,"Ninguno",8,"Starbucks"
"1698",NA,NA,NA,"Ninguno",NA,NA
"1699",3,"Bueno",16,"Beca",20,"Starbucks"
"1700",NA,"Regular",NA,"Semi-beca",30,"Hago mi propio café"
"1701",NA,NA,NA,"Ninguno",NA,NA
"1702",1,"Regular",13,"Ninguno",5,"Hago mi propio café"
"1703",NA,NA,NA,"Ninguno",NA,NA
"1704",2,"Puede Mejorar",14.5,"Beca",4,"Starbucks"
"1705",8,"Excelente",NA,"Ninguno",40,"Hago mi propio café"
"1706",5,"Regular",15,"Ninguno",80,"Starbucks"
"1707",1,"Puede Mejorar",16,"Beca",4,"""Bodegas"" como Listo, Tambo, etc"
"1708",3,"Bueno",17.3,"Ninguno",25,"""Bodegas"" como Listo, Tambo, etc"
"1709",4,"Regular",14,"Ninguno",50,"Cafetería Artesanal"
"1710",5,"Bueno",NA,"Ninguno",30,"Cafetería Artesanal"
"1711",NA,NA,NA,"Ninguno",NA,NA
"1712",NA,"Regular",15,"Semi-beca",76,"Starbucks"
"1713",4,"Regular",15,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1714",6,"Regular",13.5,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"1715",2,"Puede Mejorar",15,"Ninguno",3,"Starbucks"
"1716",1,"Excelente",17,"Semi-beca",20,"Cafetería Artesanal"
"1717",2,"Bueno",14,"Semi-beca",40,"Starbucks"
"1718",2,"Bueno",12,"Beca",46,"Cafetería Artesanal"
"1719",2,"Bueno",12,"Ninguno",6,"Cafetería Artesanal"
"1720",5,"Bueno",15.5,"Ninguno",6,"Hago mi propio café"
"1721",4,"Bueno",16,"Semi-beca",34,"Cafetería Artesanal"
"1722",2,"Regular",17.9,"Ninguno",5,"Hago mi propio café"
"1723",2,"Bueno",15,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1724",2,"Regular",15,"Beca",5,"Hago mi propio café"
"1725",NA,NA,NA,"Ninguno",NA,NA
"1726",2,"Excelente",15,"Beca",5,"Starbucks"
"1727",2,"Bueno",14,"Beca",5,"Hago mi propio café"
"1728",1,"Bueno",17,"Semi-beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1729",2,"Regular",15,"Beca",5,"Hago mi propio café"
"1730",3,"Excelente",12,"Semi-beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1731",NA,NA,NA,"Beca",NA,NA
"1732",2,"Bueno",15,"Beca",6,"Hago mi propio café"
"1733",2,"Regular",15,"Ninguno",20,"Hago mi propio café"
"1734",10,"Regular",17.4,"Semi-beca",180,"Starbucks"
"1735",2,"Puede Mejorar",15.5,"Semi-beca",12,"Starbucks"
"1736",1,"Bueno",16.7,"Semi-beca",12,"""Bodegas"" como Listo, Tambo, etc"
"1737",3,"Bueno",14.7,"Ninguno",12,"""Bodegas"" como Listo, Tambo, etc"
"1738",2,"Bueno",17.3,"Ninguno",20,"Hago mi propio café"
"1739",3,"Bueno",14.23,"Semi-beca",30,"Hago mi propio café"
"1740",1,"Bueno",13.2,"Semi-beca",5,"Hago mi propio café"
"1741",1,"Bueno",15.23,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1742",3,"Regular",14.24,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"1743",2,"Bueno",14.45,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1744",1,"Bueno",13.37,"Ninguno",8,"""Bodegas"" como Listo, Tambo, etc"
"1745",3,"Bueno",13.34,"Semi-beca",30,"Cafetería Artesanal"
"1746",3,"Bueno",14.56,"Ninguno",40,"Hago mi propio café"
"1747",1,"Bueno",13.21,"Semi-beca",10,"Hago mi propio café"
"1748",4,"Bueno",15.32,"Semi-beca",40,"Hago mi propio café"
"1749",3,"Regular",14,"Ninguno",25,"Hago mi propio café"
"1750",2,"Puede Mejorar",14.09,"Semi-beca",50,"Hago mi propio café"
"1751",NA,NA,NA,"Ninguno",NA,NA
"1752",NA,NA,NA,"Ninguno",NA,NA
"1753",1,"Bueno",16.3,"Ninguno",40,"Hago mi propio café"
"1754",1,"Regular",16,"Ninguno",15,"Hago mi propio café"
"1755",4,"Excelente",16,"Ninguno",30,"Hago mi propio café"
"1756",1,"Bueno",16,"Ninguno",7.5,"Hago mi propio café"
"1757",2,"Bueno",12,"Ninguno",6,"Hago mi propio café"
"1758",2,"Bueno",15,"Beca",10,"Hago mi propio café"
"1759",1,"Bueno",NA,"Beca",10,"Hago mi propio café"
"1760",2,"Regular",15.1,"Ninguno",14,"Hago mi propio café"
"1761",NA,NA,NA,"Semi-beca",NA,NA
"1762",1,"Bueno",18.7,"Semi-beca",5,"Hago mi propio café"
"1763",2,"Bueno",15,"Semi-beca",30,"Hago mi propio café"
"1764",8,"Bueno",16,"Ninguno",20,"Hago mi propio café"
"1765",1,"Puede Mejorar",15.75,"Beca",10,"Hago mi propio café"
"1766",NA,NA,NA,"Ninguno",NA,NA
"1767",3,"Bueno",15.54,"Ninguno",15,"Cafetería Artesanal"
"1768",1,"Regular",13.9,"Ninguno",20,"Hago mi propio café"
"1769",2,"Regular",15,"Beca",15,"""Bodegas"" como Listo, Tambo, etc"
"1770",2,"Bueno",15,"Ninguno",6,"Hago mi propio café"
"1771",NA,NA,NA,"Ninguno",NA,NA
"1772",2,"Bueno",2,"Beca",15,"Starbucks"
"1773",NA,NA,NA,"Ninguno",NA,NA
"1774",2,"Regular",13,"Ninguno",30,"Cafetería Artesanal"
"1775",NA,"Regular",NA,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"1776",1,"Bueno",12,"Ninguno",2.5,"Starbucks"
"1777",2,"Bueno",14.23,"Ninguno",25,"Hago mi propio café"
"1778",9,"Puede Mejorar",13,"Ninguno",20,"Starbucks"
"1779",2,"Bueno",12,"Ninguno",30,"Starbucks"
"1780",2,"Regular",14,"Beca",20,"Cafetería Artesanal"
"1781",3,"Regular",14.5,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1782",NA,NA,NA,"Ninguno",NA,NA
"1783",NA,NA,NA,"Ninguno",NA,NA
"1784",NA,NA,NA,"Beca",NA,NA
"1785",2,"Excelente",14,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"1786",2,"Bueno",12,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"1787",2,"Regular",16,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1788",2,"Regular",16,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1789",5,"Bueno",16.4,"Ninguno",7,"""Bodegas"" como Listo, Tambo, etc"
"1790",1,"Bueno",16.7,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"1791",1,"Bueno",17.66,"Ninguno",12.5,"""Bodegas"" como Listo, Tambo, etc"
"1792",1,"Regular",16.01,"Beca",5,"Hago mi propio café"
"1793",1,"Bueno",14.05,"Beca",2,"Starbucks"
"1794",NA,NA,NA,"Ninguno",NA,NA
"1795",NA,NA,NA,"Ninguno",NA,NA
"1796",1,"Puede Mejorar",15,"Beca",3,"""Bodegas"" como Listo, Tambo, etc"
"1797",1,"Bueno",15.5,"Beca",20,"Cafetería Artesanal"
"1798",1,"Bueno",16.3,"Beca",5,"Starbucks"
"1799",4,"Puede Mejorar",14.52,"Beca",6,"Hago mi propio café"
"1800",1,"Bueno",15,"Ninguno",40,"Hago mi propio café"
"1801",NA,NA,NA,"Semi-beca",NA,NA
"1802",3,"Bueno",16,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"1803",2,"Bueno",16,"Semi-beca",2.5,"""Bodegas"" como Listo, Tambo, etc"
"1804",2,"Bueno",14.7,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1805",4,"Excelente",16,"Semi-beca",80,"Hago mi propio café"
"1806",2,"Bueno",13,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1807",1,"Regular",15.8,"Ninguno",10,"Hago mi propio café"
"1808",1,"Bueno",17.4,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1809",2,"Bueno",16,"Beca",30,"Hago mi propio café"
"1810",2,"Bueno",14,"Ninguno",0,"Hago mi propio café"
"1811",4,"Excelente",16.4,"Beca",70,"Hago mi propio café"
"1812",2,"Regular",13.9,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1813",NA,NA,NA,"Ninguno",NA,NA
"1814",NA,NA,NA,"Ninguno",NA,NA
"1815",NA,NA,NA,"Beca",NA,NA
"1816",NA,NA,NA,"Ninguno",NA,NA
"1817",5,"Bueno",NA,"Ninguno",50,"Hago mi propio café"
"1818",NA,NA,NA,"Ninguno",NA,NA
"1819",NA,NA,NA,"Ninguno",NA,NA
"1820",1,"Regular",9,"Ninguno",15,"Starbucks"
"1821",2,"Bueno",16.24,"Ninguno",35,"Cafetería Artesanal"
"1822",NA,NA,NA,"Beca",NA,NA
"1823",1,"Regular",12.3,"Ninguno",0,"Hago mi propio café"
"1824",1,"Bueno",15,"Beca",4,"Hago mi propio café"
"1825",NA,NA,NA,"Ninguno",NA,NA
"1826",NA,NA,NA,"Ninguno",NA,NA
"1827",NA,NA,NA,"Ninguno",NA,NA
"1828",NA,NA,NA,"Ninguno",NA,NA
"1829",NA,NA,NA,"Beca",NA,NA
"1830",NA,NA,NA,"Ninguno",NA,NA
"1831",NA,NA,NA,"Ninguno",NA,NA
"1832",1,"Regular",16.11,"Ninguno",3.5,"Hago mi propio café"
"1833",2,"Regular",14.5,"Beca",5,"Starbucks"
"1834",2,"Regular",13.5,"Beca",8,"""Bodegas"" como Listo, Tambo, etc"
"1835",3,"Bueno",16.24,"Semi-beca",40,"Hago mi propio café"
"1836",3,"Bueno",14.4,"Semi-beca",30,"Hago mi propio café"
"1837",3,"Excelente",14.5,"Ninguno",40,"Starbucks"
"1838",3,"Bueno",14.9,"Ninguno",10,"Starbucks"
"1839",2,"Regular",16.2,"Ninguno",15,"Starbucks"
"1840",6,"Bueno",NA,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"1841",3,"Excelente",16.7,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1842",2,"Bueno",13,"Ninguno",4,"Hago mi propio café"
"1843",2,"Bueno",15.75,"Beca",20,"Hago mi propio café"
"1844",NA,NA,NA,"Beca",NA,NA
"1845",1,"Regular",NA,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"1846",NA,NA,NA,"Semi-beca",NA,NA
"1847",3,"Regular",NA,"Semi-beca",30,"""Bodegas"" como Listo, Tambo, etc"
"1848",4,"Bueno",15,"Beca",8,"Hago mi propio café"
"1849",NA,NA,NA,"Beca",NA,NA
"1850",NA,NA,NA,"Ninguno",NA,NA
"1851",3,"Regular",15,"Beca",20,"Cafetería Artesanal"
"1852",1,"Regular",18.11,"Semi-beca",0,"Hago mi propio café"
"1853",NA,NA,NA,"Beca",NA,NA
"1854",4,"Bueno",15.4,"Ninguno",18,"Hago mi propio café"
"1855",1,"Regular",15,"Beca",3,"""Bodegas"" como Listo, Tambo, etc"
"1856",2,"Bueno",15.73,"Beca",5,"Cafetería Artesanal"
"1857",NA,NA,NA,"Ninguno",NA,NA
"1858",2,"Bueno",14.2,"Ninguno",10,"Starbucks"
"1859",6,"Excelente",19,"Beca",32,"Cafetería Artesanal"
"1860",2,"Bueno",12,"Ninguno",4,"Starbucks"
"1861",1,"Regular",18,"Ninguno",0,"""Bodegas"" como Listo, Tambo, etc"
"1862",NA,NA,NA,"Ninguno",NA,NA
"1863",2,"Regular",14.25,"Ninguno",0,"""Bodegas"" como Listo, Tambo, etc"
"1864",1,"Excelente",14.3,"Ninguno",15,"Hago mi propio café"
"1865",3,"Bueno",12,"Ninguno",4,"Hago mi propio café"
"1866",3,"Bueno",12.8,"Ninguno",12,"Cafetería Artesanal"
"1867",1,"Bueno",15,"Ninguno",10,"Hago mi propio café"
"1868",4,"Bueno",15.41,"Ninguno",0,"Hago mi propio café"
"1869",NA,NA,NA,"Beca",NA,NA
"1870",NA,"Regular",16.05,"Ninguno",0,"Hago mi propio café"
"1871",NA,NA,NA,"Ninguno",NA,NA
"1872",2,"Bueno",15.8,"Ninguno",16,"Hago mi propio café"
"1873",1,"Bueno",13,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1874",2,"Regular",NA,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1875",1,"Excelente",13.4,"Ninguno",2.5,"Cafetería Artesanal"
"1876",NA,NA,NA,"Ninguno",NA,NA
"1877",NA,NA,NA,"Beca",NA,NA
"1878",2,"Puede Mejorar",13,"Ninguno",50,"Hago mi propio café"
"1879",1,"Bueno",13.14,"Beca",5,"Hago mi propio café"
"1880",NA,NA,NA,"Ninguno",NA,NA
"1881",NA,NA,NA,"Beca",NA,NA
"1882",1,"Bueno",12,"Beca",4,"Hago mi propio café"
"1883",NA,"Regular",15,"Ninguno",10,"Hago mi propio café"
"1884",2,"Bueno",14.4,"Ninguno",40,"Hago mi propio café"
"1885",3,"Bueno",15.82,"Semi-beca",30,"Hago mi propio café"
"1886",3,"Excelente",15.23,"Beca",30,"Starbucks"
"1887",4,"Bueno",13.23,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"1888",NA,NA,NA,"Ninguno",NA,NA
"1889",NA,NA,NA,"Ninguno",NA,NA
"1890",4,"Bueno",11.5,"Ninguno",20,"Starbucks"
"1891",2,"Bueno",15,"Ninguno",20,"Hago mi propio café"
"1892",2,"Bueno",17,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1893",1,"Regular",14.83,"Semi-beca",10,"""Bodegas"" como Listo, Tambo, etc"
"1894",3,"Excelente",14,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1895",1,"Excelente",17,"Beca",0,"Hago mi propio café"
"1896",2,"Bueno",13.46,"Ninguno",10,"Hago mi propio café"
"1897",NA,NA,NA,"Ninguno",NA,NA
"1898",5,"Bueno",13,"Ninguno",20,"Hago mi propio café"
"1899",NA,NA,NA,"Ninguno",NA,NA
"1900",4,"Bueno",13.8,"Semi-beca",3,"Cafetería Artesanal"
"1901",3,"Bueno",13.5,"Semi-beca",6,"Cafetería Artesanal"
"1902",2,"Excelente",16.8,"Beca",12,"Cafetería Artesanal"
"1903",1,"Bueno",12,"Ninguno",10,"Hago mi propio café"
"1904",NA,NA,NA,"Ninguno",NA,NA
"1905",NA,NA,NA,"Semi-beca",NA,NA
"1906",3,"Bueno",13.17,"Ninguno",15,"Hago mi propio café"
"1907",2,"Excelente",14,"Ninguno",50,"Starbucks"
"1908",NA,"Bueno",15.23,"Ninguno",0,"Hago mi propio café"
"1909",NA,NA,NA,"Semi-beca",NA,NA
"1910",1,"Regular",12.11,"Ninguno",5,"Hago mi propio café"
"1911",3,"Bueno",15.4,"Semi-beca",14,"Starbucks"
"1912",2,"Excelente",15.5,"Ninguno",50,"Hago mi propio café"
"1913",2,"Bueno",16.7,"Ninguno",12,"Cafetería Artesanal"
"1914",2,"Bueno",15.8,"Semi-beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1915",2,"Bueno",14.6,"Beca",4,"Hago mi propio café"
"1916",2,"Bueno",13.3,"Beca",5,"Hago mi propio café"
"1917",2,"Excelente",16,"Ninguno",29,"Hago mi propio café"
"1918",NA,NA,NA,"Semi-beca",NA,NA
"1919",1,"Excelente",17.8,"Beca",16,"""Bodegas"" como Listo, Tambo, etc"
"1920",1,"Bueno",16.5,"Ninguno",29,"Cafetería Artesanal"
"1921",2,"Bueno",15.6,"Ninguno",20,"Cafetería Artesanal"
"1922",NA,NA,NA,"Ninguno",NA,NA
"1923",1,"Regular",13.2,"Ninguno",15,"Hago mi propio café"
"1924",1,"Excelente",16.5,"Ninguno",20,"Hago mi propio café"
"1925",2,"Bueno",13,"Ninguno",19,"""Bodegas"" como Listo, Tambo, etc"
"1926",NA,NA,NA,"Semi-beca",NA,NA
"1927",NA,NA,NA,"Semi-beca",NA,NA
"1928",3,"Bueno",15.65,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"1929",4,"Bueno",13.45,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1930",3,"Excelente",14.45,"Beca",15,"Starbucks"
"1931",4,"Bueno",15.67,"Semi-beca",30,"Cafetería Artesanal"
"1932",2,"Bueno",15.32,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"1933",2,"Bueno",18.15,"Semi-beca",15,"Cafetería Artesanal"
"1934",2,"Excelente",15.35,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1935",2,"Bueno",16.3,"Beca",15,"Hago mi propio café"
"1936",3,"Excelente",16.75,"Beca",30,"Starbucks"
"1937",3,"Regular",13.4,"Ninguno",15,"Hago mi propio café"
"1938",5,"Bueno",14.78,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1939",4,"Bueno",14.55,"Beca",45,"Starbucks"
"1940",3,"Bueno",15.3,"Ninguno",30,"Hago mi propio café"
"1941",2,"Bueno",15.83,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1942",3,"Bueno",17.2,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"1943",2,"Bueno",15.45,"Beca",35,"Starbucks"
"1944",5,"Regular",13.4,"Semi-beca",45,"Cafetería Artesanal"
"1945",2,"Puede Mejorar",11.55,"Semi-beca",20,"Hago mi propio café"
"1946",3,"Puede Mejorar",17.5,"Ninguno",23,"Hago mi propio café"
"1947",2,"Bueno",13.2,"Ninguno",35,"Cafetería Artesanal"
"1948",6,"Regular",13.2,"Ninguno",150,"Cafetería Artesanal"
"1949",NA,"Bueno",16.7,"Ninguno",5,"Hago mi propio café"
"1950",5,"Bueno",16.2,"Ninguno",45,"""Bodegas"" como Listo, Tambo, etc"
"1951",2,"Bueno",15.2,"Ninguno",15,"Hago mi propio café"
"1952",2,"Bueno",15.24,"Semi-beca",40,"Starbucks"
"1953",2,"Bueno",14.61,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1954",2,"Bueno",15.24,"Ninguno",30,"Starbucks"
"1955",1,"Regular",13,"Ninguno",14,"Cafetería Artesanal"
"1956",4,"Bueno",15.8,"Semi-beca",7,"Starbucks"
"1957",3,"Bueno",17.6,"Ninguno",28,"""Bodegas"" como Listo, Tambo, etc"
"1958",1,"Bueno",14.7,"Ninguno",10,"Hago mi propio café"
"1959",6,"Excelente",18,"Semi-beca",30,"""Bodegas"" como Listo, Tambo, etc"
"1960",3,"Bueno",14.9,"Semi-beca",20,"Hago mi propio café"
"1961",2,"Bueno",17,"Ninguno",20,"Hago mi propio café"
"1962",3,"Excelente",14.3,"Beca",15,"Hago mi propio café"
"1963",3,"Bueno",15,"Ninguno",35,"""Bodegas"" como Listo, Tambo, etc"
"1964",6,"Excelente",13.8,"Beca",20,"Hago mi propio café"
"1965",3,"Excelente",15.4,"Semi-beca",15,"""Bodegas"" como Listo, Tambo, etc"
"1966",3,"Excelente",13.4,"Ninguno",10,"Starbucks"
"1967",4,"Excelente",15.09,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1968",4,"Bueno",14.4,"Beca",20,"Hago mi propio café"
"1969",4,"Bueno",12,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1970",4,"Regular",17,"Semi-beca",20,"Hago mi propio café"
"1971",4,"Regular",13,"Ninguno",18,"Cafetería Artesanal"
"1972",4,"Regular",15,"Ninguno",20,"Hago mi propio café"
"1973",1,"Bueno",15,"Beca",5,"Hago mi propio café"
"1974",4,"Regular",16,"Beca",5,"Starbucks"
"1975",1,"Bueno",15.45,"Ninguno",5,"Starbucks"
"1976",1,"Bueno",12.4,"Beca",5,"Starbucks"
"1977",1,"Bueno",13.4,"Beca",1,"Cafetería Artesanal"
"1978",1,"Puede Mejorar",13,"Beca",1,"Hago mi propio café"
"1979",2,"Puede Mejorar",14.34,"Beca",1,"""Bodegas"" como Listo, Tambo, etc"
"1980",1,"Bueno",13,"Beca",8,"""Bodegas"" como Listo, Tambo, etc"
"1981",1,"Regular",14.6,"Beca",4,"""Bodegas"" como Listo, Tambo, etc"
"1982",1,"Bueno",13.2,"Semi-beca",8,"""Bodegas"" como Listo, Tambo, etc"
"1983",NA,NA,NA,"Ninguno",NA,NA
"1984",2,"Bueno",15.81,"Ninguno",3,"""Bodegas"" como Listo, Tambo, etc"
"1985",2,"Regular",NA,"Ninguno",20,"Cafetería Artesanal"
"1986",1,"Bueno",13.6,"Beca",7,"Hago mi propio café"
"1987",1,"Bueno",16,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1988",1,"Bueno",16.5,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"1989",1,"Regular",15,"Beca",10,"Cafetería Artesanal"
"1990",1,"Bueno",14.5,"Semi-beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1991",1,"Bueno",14.65,"Semi-beca",4,"Starbucks"
"1992",NA,"Bueno",14.6,"Beca",10,"Starbucks"
"1993",2,"Bueno",15.2,"Beca",8,"""Bodegas"" como Listo, Tambo, etc"
"1994",1,"Bueno",14.5,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1995",2,"Bueno",14.85,"Ninguno",10,"Cafetería Artesanal"
"1996",1,"Regular",14.45,"Ninguno",0,"Hago mi propio café"
"1997",1,"Regular",12.31,"Ninguno",15,"Hago mi propio café"
"1998",1,"Bueno",14,"Ninguno",11,"""Bodegas"" como Listo, Tambo, etc"
"1999",1,"Excelente",18.2,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"2000",2,"Excelente",15.5,"Ninguno",25,"Cafetería Artesanal"
"2001",3,"Excelente",14.2,"Ninguno",30,"Hago mi propio café"
"2002",1,"Bueno",15,"Ninguno",2,"""Bodegas"" como Listo, Tambo, etc"
"2003",NA,NA,NA,"Ninguno",NA,NA
"2004",1,"Bueno",11.5,"Ninguno",12,"Hago mi propio café"
"2005",1,"Bueno",14.7,"Ninguno",20,"Hago mi propio café"
"2006",1,"Regular",17,"Semi-beca",0,"Cafetería Artesanal"
"2007",1,"Bueno",NA,"Ninguno",20,"Hago mi propio café"
"2008",2,"Bueno",15,"Ninguno",20,"Cafetería Artesanal"
"2009",3,"Bueno",20,"Ninguno",25,"Hago mi propio café"
"2010",1,"Bueno",13.5,"Semi-beca",5,"Hago mi propio café"
"2011",1,"Bueno",13.12,"Ninguno",10,"Hago mi propio café"
"2012",NA,"Excelente",15.42,"Ninguno",5,"Hago mi propio café"
"2013",3,"Excelente",16.32,"Ninguno",40,"Hago mi propio café"
"2014",NA,"Excelente",20,"Ninguno",10,"Hago mi propio café"
"2015",NA,NA,NA,"Beca",NA,NA
"2016",5,"Bueno",NA,"Beca",5,"Hago mi propio café"
"2017",2,"Excelente",14,"Semi-beca",23,"Hago mi propio café"
"2018",NA,NA,NA,"Ninguno",NA,NA
"2019",NA,"Puede Mejorar",16,"Beca",1,"Cafetería Artesanal"
"2020",NA,NA,NA,"Ninguno",NA,NA
"2021",3,"Bueno",15.15,"Ninguno",30,"Hago mi propio café"
"2022",NA,NA,NA,"Beca",NA,NA
"2023",2,"Bueno",13.95,"Semi-beca",50,"Starbucks"
"2024",2,"Bueno",11.45,"Ninguno",12,"Hago mi propio café"
"2025",1,"Bueno",15,"Ninguno",3,"Hago mi propio café"
"2026",NA,NA,NA,"Beca",NA,NA
"2027",2,"Bueno",14,"Ninguno",0,"Hago mi propio café"
"2028",2,"Bueno",16,"Beca",9,"Cafetería Artesanal"
"2029",1,"Puede Mejorar",13.8,"Ninguno",10,"Hago mi propio café"
"2030",2,"Puede Mejorar",14,"Ninguno",30,"Hago mi propio café"
"2031",2,"Excelente",14,"Ninguno",10,"Hago mi propio café"
"2032",NA,NA,NA,"Ninguno",NA,NA
"2033",1,"Bueno",11.2,"Beca",2,"Hago mi propio café"
"2034",NA,NA,NA,"Ninguno",NA,NA
"2035",1,"Bueno",15,"Ninguno",30,"Hago mi propio café"
"2036",1,"Puede Mejorar",15.45,"Ninguno",0,"Hago mi propio café"
"2037",NA,NA,NA,"Ninguno",NA,NA
"2038",2,"Bueno",16.23,"Beca",5,"Hago mi propio café"
"2039",2,"Regular",14,"Beca",30,"Cafetería Artesanal"
"2040",NA,NA,NA,"Ninguno",NA,NA
"2041",NA,"Bueno",14.11,"Ninguno",0,"Hago mi propio café"
"2042",1,"Bueno",17.38,"Semi-beca",20,"Hago mi propio café"
"2043",NA,"Bueno",15,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
