"","Tazas_por_dia","Rendimiento_con_cafe","Promedio_ponderado_2024_1","Apoyo_economico","Gasto_semanal_cafe","Lugar_compra_cafe"
"378",1,"Bueno",15.2,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"379",NA,NA,NA,"Ninguno",NA,NA
"380",2,"Bueno",14,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"381",NA,NA,NA,"Ninguno",NA,NA
"382",NA,NA,NA,"Ninguno",NA,NA
"383",NA,NA,NA,"Ninguno",NA,NA
"384",NA,NA,NA,"Ninguno",NA,NA
"385",NA,NA,NA,"Ninguno",NA,NA
"386",1,"Excelente",17,"Ninguno",10,"Hago mi propio café"
"387",NA,NA,NA,"Ninguno",NA,NA
"388",1,"Puede Mejorar",2,"Ninguno",0,"Hago mi propio café"
"389",5,"Bueno",19,"Ninguno",10,"Cafetería Artesanal"
"390",1,"Regular",15.84,"Semi-beca",5,"Hago mi propio café"
"391",NA,NA,NA,"Ninguno",NA,NA
"392",NA,NA,NA,"Beca",NA,NA
"393",2,"Bueno",17,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"394",1,"Regular",15.7,"Beca",0,"Hago mi propio café"
"395",3,"Bueno",15,"Ninguno",25,"Hago mi propio café"
"396",1,"Bueno",12.6,"Ninguno",0,"Hago mi propio café"
"397",NA,NA,NA,"Ninguno",NA,NA
"398",4,"Bueno",13,"Ninguno",15,"Hago mi propio café"
"399",3,"Bueno",NA,"Ninguno",30,"Cafetería Artesanal"
"400",3,"Bueno",14,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"401",1,"Regular",13,"Ninguno",0,"Hago mi propio café"
"402",1,"Excelente",16.7,"Beca",12,"Cafetería Artesanal"
"403",4,"Bueno",16.42,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"404",3,"Regular",15.89,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"405",2,"Bueno",14,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"406",1,"Regular",14.3,"Ninguno",2,"Cafetería Artesanal"
"407",2,"Bueno",15,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"408",2,"Bueno",14,"Beca",4,"Cafetería Artesanal"
"409",2,"Bueno",17,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"410",3,"Bueno",13.92,"Beca",3,"Hago mi propio café"
"411",1,"Bueno",NA,"Ninguno",34,"Starbucks"
"412",NA,NA,NA,"Ninguno",NA,NA
"413",1,"Bueno",NA,"Ninguno",0,"Hago mi propio café"
"414",7,"Bueno",14.67,"Semi-beca",15,"""Bodegas"" como Listo, Tambo, etc"
"415",1,"Bueno",10.5,"Ninguno",0,"Hago mi propio café"
"416",1,"Puede Mejorar",14,"Beca",20,"Hago mi propio café"
"417",NA,NA,NA,"Ninguno",NA,NA
"418",2,"Bueno",16.7,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
